structure_id,source,generation_commit,extinction_group,crystal_system,space_group,composition,lattice_a,lattice_b,lattice_c,alpha,beta,gamma,atoms,creation_timestamp
331be1ef-d48c-41e1-8479-451d0912be8c,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,1,Monoclinic,6,Ir2Sc2Yb2,6.2824886330621945,4.79225379515856,5.521027253930496,90.0,100.75613636611877,90.0,"[{'symbol': 'Sc', 'position': array([0.92383867, 0.24375713, 0.65795994])}, {'symbol': 'Sc', 'position': array([0.92383867, 0.75624287, 0.65795994])}, {'symbol': 'Yb', 'position': array([0.3819144 , 0.        , 0.71845362])}, {'symbol': 'Yb', 'position': array([9.72797476e-02, 8.15776052e-34, 5.88539094e-02])}, {'symbol': 'Ir', 'position': array([0.52261759, 0.5       , 0.2992619 ])}, {'symbol': 'Ir', 'position': array([1.07664725e-01, 2.46901921e-33, 3.84604954e-01])}]",
dba1436a-8f3b-4e50-af7a-93ad2fad9ca3,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,1,Monoclinic,6,Ar2Mg2,5.990829914336133,2.9561457994054594,5.99176592874995,90.0,68.08912934779003,90.0,"[{'symbol': 'Mg', 'position': array([0.70888292, 0.5       , 0.67045884])}, {'symbol': 'Mg', 'position': array([0.7479576 , 0.5       , 0.35272489])}, {'symbol': 'Ar', 'position': array([2.21144936e-01, 2.81764503e-33, 8.89735292e-01])}, {'symbol': 'Ar', 'position': array([0.66584549, 0.5       , 0.07430234])}]",
42428d96-32d7-4e87-a497-53cd131027d6,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,1,Monoclinic,6,Li2Mn2,3.058501155146673,7.29004177649484,3.2880685417361173,90.0,94.54446846071059,90.0,"[{'symbol': 'Li', 'position': array([0.37151942, 0.16997196, 0.872008  ])}, {'symbol': 'Li', 'position': array([0.37151942, 0.83002804, 0.872008  ])}, {'symbol': 'Mn', 'position': array([0.80021736, 0.26868123, 0.12408306])}, {'symbol': 'Mn', 'position': array([0.80021736, 0.73131877, 0.12408306])}]",
41976a7d-f9d4-4e67-8736-78c3ff1cbf5e,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,1,Monoclinic,6,Cs2Ho2,7.650229325723344,8.792362496147822,4.857642020376647,90.0,83.79214662898067,90.0,"[{'symbol': 'Cs', 'position': array([0.48864099, 0.5       , 0.43490774])}, {'symbol': 'Cs', 'position': array([0.82193492, 0.        , 0.63814723])}, {'symbol': 'Ho', 'position': array([0.45935289, 0.        , 0.40349108])}, {'symbol': 'Ho', 'position': array([0.40098686, 0.        , 0.80383331])}]",
c0c279f2-fdd3-42f6-9ef7-48e4578df00f,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,1,Monoclinic,6,Er2In2Tl2,6.415813056235042,6.781054623921433,5.043114099009485,90.0,97.74454706162285,90.0,"[{'symbol': 'In', 'position': array([0.52986472, 0.16465557, 0.07061326])}, {'symbol': 'In', 'position': array([0.52986472, 0.83534443, 0.07061326])}, {'symbol': 'Er', 'position': array([0.89846375, 0.69365538, 0.03484953])}, {'symbol': 'Er', 'position': array([0.89846375, 0.30634462, 0.03484953])}, {'symbol': 'Tl', 'position': array([0.01232406, 0.14550798, 0.68199313])}, {'symbol': 'Tl', 'position': array([0.01232406, 0.85449202, 0.68199313])}]",
8534e176-991b-41dd-91e4-e606e7307dae,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,1,Monoclinic,6,Ru2Y2,6.402206665825524,5.234149872524021,4.440002099008469,90.0,116.98551979347523,90.0,"[{'symbol': 'Y', 'position': array([0.01600893, 0.        , 0.04603139])}, {'symbol': 'Y', 'position': array([0.78898588, 0.        , 0.5227097 ])}, {'symbol': 'Ru', 'position': array([0.57922541, 0.5       , 0.72052144])}, {'symbol': 'Ru', 'position': array([0.16037358, 0.        , 0.80991456])}]",
de260c69-e715-43c4-81e7-1d8ab35ac3a4,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,1,Monoclinic,6,N2Zr2,3.875585493340256,6.8231598387578245,3.6653361848323454,90.0,92.53338472771304,90.0,"[{'symbol': 'N', 'position': array([0.21152073, 0.81942795, 0.16798581])}, {'symbol': 'N', 'position': array([0.21152073, 0.18057205, 0.16798581])}, {'symbol': 'Zr', 'position': array([0.93010474, 0.        , 0.57735467])}, {'symbol': 'Zr', 'position': array([0.71312327, 0.5       , 0.47242805])}]",
66b370aa-3ff6-477e-b616-4fc82a9c3011,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,1,Monoclinic,6,U2Yb2,4.801448549805952,5.7585880784339105,6.256814558961611,90.0,119.85234871517117,90.0,"[{'symbol': 'Yb', 'position': array([0.43632707, 0.26602788, 0.65637162])}, {'symbol': 'Yb', 'position': array([0.43632707, 0.73397212, 0.65637162])}, {'symbol': 'U', 'position': array([0.6056049 , 0.        , 0.13484596])}, {'symbol': 'U', 'position': array([0.96184426, 0.5       , 0.50557717])}]",
6ee86091-ea25-4e53-b92a-280ae43bb304,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,1,Monoclinic,6,Ar2Ni2,3.7771934146876482,3.402227572976885,3.5886211887867407,90.0,85.7460635949835,90.0,"[{'symbol': 'Ar', 'position': array([0.55519814, 0.32649798, 0.40537081])}, {'symbol': 'Ar', 'position': array([0.55519814, 0.67350202, 0.40537081])}, {'symbol': 'Ni', 'position': array([0.44261796, 0.5       , 0.00405794])}, {'symbol': 'Ni', 'position': array([3.22473535e-01, 4.20945863e-33, 1.12366837e-01])}]",
d9822427-15e6-4728-9cd4-8e7fe91990c3,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,1,Monoclinic,6,Fr2Sc2,9.614408520696347,10.070446440652841,4.727152204378211,90.0,70.10376121862129,90.0,"[{'symbol': 'Sc', 'position': array([4.14559320e-01, 4.85950149e-33, 8.20043167e-01])}, {'symbol': 'Sc', 'position': array([0.58801606, 0.5       , 0.0124028 ])}, {'symbol': 'Fr', 'position': array([0.9936595 , 0.84531644, 0.55211464])}, {'symbol': 'Fr', 'position': array([0.9936595 , 0.15468356, 0.55211464])}]",
400c91ff-de85-4f6c-9184-18908dd74cdb,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,2,Monoclinic,4,Tl2U2,7.950290091705749,4.156506703773595,5.611328518705561,90.0,126.04933259630451,90.0,"[{'symbol': 'Tl', 'position': array([0.66509624, 0.2271878 , 0.7108404 ])}, {'symbol': 'Tl', 'position': array([0.33490376, 0.7271878 , 0.2891596 ])}, {'symbol': 'U', 'position': array([0.45002731, 0.34380002, 0.18872524])}, {'symbol': 'U', 'position': array([0.54997269, 0.84380002, 0.81127476])}]",
e17f01f8-c2a2-47d2-97f7-47bc0e0b3482,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,2,Monoclinic,4,Lu2P2Ti2,5.390325897085575,4.590369129652116,5.018530316071918,90.0,87.14403953660032,90.0,"[{'symbol': 'P', 'position': array([0.32418457, 0.41761834, 0.77219617])}, {'symbol': 'P', 'position': array([0.67581543, 0.91761834, 0.22780383])}, {'symbol': 'Ti', 'position': array([0.97814277, 0.45789934, 0.08092691])}, {'symbol': 'Ti', 'position': array([0.02185723, 0.95789934, 0.91907309])}, {'symbol': 'Lu', 'position': array([0.38798311, 0.11070272, 0.93723888])}, {'symbol': 'Lu', 'position': array([0.61201689, 0.61070272, 0.06276112])}]",
b8b05cc8-452e-422b-8c31-a54f2f223405,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,2,Monoclinic,4,Ar2Th2,3.891363271891758,7.758928612150686,4.217231246136698,90.0,89.09047521738245,90.0,"[{'symbol': 'Ar', 'position': array([0.9133527 , 0.85791768, 0.12471446])}, {'symbol': 'Ar', 'position': array([0.0866473 , 0.35791768, 0.87528554])}, {'symbol': 'Th', 'position': array([0.18406554, 0.87701438, 0.52309618])}, {'symbol': 'Th', 'position': array([0.81593446, 0.37701438, 0.47690382])}]",
fccdcd16-1f62-4406-9223-db881a0f64b6,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,2,Monoclinic,4,Ca2Hg2Mn2,3.2163250010774487,13.064419699894685,3.9528265331364976,90.0,90.37681599333015,90.0,"[{'symbol': 'Ca', 'position': array([0.28086978, 0.33024947, 0.63329364])}, {'symbol': 'Ca', 'position': array([0.71913022, 0.83024947, 0.36670636])}, {'symbol': 'Mn', 'position': array([0.65506217, 0.64512679, 0.49760848])}, {'symbol': 'Mn', 'position': array([0.34493783, 0.14512679, 0.50239152])}, {'symbol': 'Hg', 'position': array([0.27114969, 0.05031113, 0.68626967])}, {'symbol': 'Hg', 'position': array([0.72885031, 0.55031113, 0.31373033])}]",
f9c7faa0-6902-4ed7-b6ee-7b0ba5d54d67,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,2,Monoclinic,4,Nb2Si2Ta2,5.425721893849714,6.564064406991982,4.489450841624621,90.0,85.68199343023511,90.0,"[{'symbol': 'Si', 'position': array([0.44471265, 0.81557522, 0.46256852])}, {'symbol': 'Si', 'position': array([0.55528735, 0.31557522, 0.53743148])}, {'symbol': 'Nb', 'position': array([0.52745284, 0.54391377, 0.22411978])}, {'symbol': 'Nb', 'position': array([0.47254716, 0.04391377, 0.77588022])}, {'symbol': 'Ta', 'position': array([0.79403076, 0.31144282, 0.14060467])}, {'symbol': 'Ta', 'position': array([0.20596924, 0.81144282, 0.85939533])}]",
1d30b645-345e-49b7-a6e5-f5ff6ed6cd8d,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,2,Monoclinic,4,Pb2S2,5.455173546617846,3.3682482572470565,3.8945626736615235,90.0,76.09007301508277,90.0,"[{'symbol': 'S', 'position': array([0.35678001, 0.65453382, 0.36669982])}, {'symbol': 'S', 'position': array([0.64321999, 0.15453382, 0.63330018])}, {'symbol': 'Pb', 'position': array([0.61027951, 0.5719832 , 0.26606854])}, {'symbol': 'Pb', 'position': array([0.38972049, 0.0719832 , 0.73393146])}]",
b25a4b52-6c51-4c32-b558-4e10c53e2c7e,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,2,Monoclinic,4,Ca2Sc2,7.22713156484405,5.088955669816036,4.374531273430301,90.0,84.34916817544548,90.0,"[{'symbol': 'Ca', 'position': array([0.8012402 , 0.93024694, 0.69790636])}, {'symbol': 'Ca', 'position': array([0.1987598 , 0.43024694, 0.30209364])}, {'symbol': 'Sc', 'position': array([0.64639835, 0.35494865, 0.3357601 ])}, {'symbol': 'Sc', 'position': array([0.35360165, 0.85494865, 0.6642399 ])}]",
63037a88-2375-47d1-8db0-086b8faca5e5,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,2,Monoclinic,4,H2Tc2Xe2,2.991467396279667,4.9047004678719155,8.855276638199776,90.0,65.24341158671103,90.0,"[{'symbol': 'H', 'position': array([0.24000104, 0.87602569, 0.85138986])}, {'symbol': 'H', 'position': array([0.75999896, 0.37602569, 0.14861014])}, {'symbol': 'Tc', 'position': array([0.49340755, 0.84426461, 0.44612288])}, {'symbol': 'Tc', 'position': array([0.50659245, 0.34426461, 0.55387712])}, {'symbol': 'Xe', 'position': array([0.85423747, 0.13660152, 0.96883039])}, {'symbol': 'Xe', 'position': array([0.14576253, 0.63660152, 0.03116961])}]",
e2d14fa0-6c52-4f42-afaa-222de1165398,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,2,Monoclinic,4,Br2Ca2U2,5.399830188058707,6.682843640507248,6.522479407216168,90.0,81.37730159516548,90.0,"[{'symbol': 'Ca', 'position': array([0.24945544, 0.44757412, 0.28428452])}, {'symbol': 'Ca', 'position': array([0.75054456, 0.94757412, 0.71571548])}, {'symbol': 'Br', 'position': array([0.26182975, 0.62524412, 0.66526274])}, {'symbol': 'Br', 'position': array([0.73817025, 0.12524412, 0.33473726])}, {'symbol': 'U', 'position': array([0.98476238, 0.16026371, 0.83340804])}, {'symbol': 'U', 'position': array([0.01523762, 0.66026371, 0.16659196])}]",
b289854e-fd24-4556-88dc-996e77424a8c,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,2,Monoclinic,4,Ca2Fr2Tb2,7.841438566439154,7.96848175612725,5.510614149114819,90.0,99.54167812159015,90.0,"[{'symbol': 'Ca', 'position': array([0.24799905, 0.2360543 , 0.82429125])}, {'symbol': 'Ca', 'position': array([0.75200095, 0.7360543 , 0.17570875])}, {'symbol': 'Tb', 'position': array([0.90508652, 0.33197668, 0.05521243])}, {'symbol': 'Tb', 'position': array([0.09491348, 0.83197668, 0.94478757])}, {'symbol': 'Fr', 'position': array([0.54527886, 0.78221344, 0.59014841])}, {'symbol': 'Fr', 'position': array([0.45472114, 0.28221344, 0.40985159])}]",
e8c64df8-5e7a-47e9-8d8a-8c5bcde54c1d,PyXtal,3e5b6cb27ee263b875831c6ddf53994b0f323cb1,3,Monoclinic,7,Fr2Ti2Zn2,13.149982674097043,5.2840599688206105,5.252236782163498,90.0,100.3924642596727,90.0,"[{'symbol': 'Ti', 'position': array([0.06466952, 0.84162282, 0.44161825])}, {'symbol': 'Ti', 'position': array([0.06466952, 0.15837718, 0.94161825])}, {'symbol': 'Zn', 'position': array([0.79028754, 0.67774206, 0.05348339])}, {'symbol': 'Zn', 'position': array([0.79028754, 0.32225794, 0.55348339])}, {'symbol': 'Fr', 'position': array([0.26023761, 0.69354301, 0.20275176])}, {'symbol': 'Fr', 'position': array([0.26023761, 0.30645699, 0.70275176])}]",
